Solvent 1,Solvent 2,Weights,Molar Mass,Log Conductivity (log S/cm),salt,temperature
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.43253717657032625, 0.43253717657032625]","[194.12, 78.05]",-2.520561455,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.3885215202070043, 0.3885215202070043]","[194.12, 78.05]",-3.037549548,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.45209591666968063, 0.45209591666968063]","[194.12, 78.05]",-3.183432428,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.45703003601396686, 0.45703003601396686]","[194.12, 78.05]",-2.944593113,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.2756521930888482, 0.2756521930888482]","[194.12, 78.05]",-4.454584062,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.34796648386827383, 0.34796648386827383]","[194.12, 78.05]",-3.14682126,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.41808467050747117, 0.41808467050747117]","[194.12, 78.05]",-2.390402093,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.43403531311307486, 0.43403531311307486]","[194.12, 78.05]",-2.502340206,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.3307075156590009, 0.3307075156590009]","[194.12, 78.05]",-3.487852839,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.3631213914811722, 0.3631213914811722]","[194.12, 78.05]",-3.452006403,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.3504001569792703, 0.3504001569792703]","[194.12, 78.05]",-3.517505611,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.34413457038240236, 0.34413457038240236]","[194.12, 78.05]",-3.155642754,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.37822913120768564, 0.37822913120768564]","[194.12, 78.05]",-2.767867416,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,C1=CC=CC=C1,"[0.32342781737971715, 0.32342781737971715]","[194.12, 78.05]",-3.744890259,F[P-](F)(F)(F)(F)F.[Li+],20
